Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method
10001,2024-07-25,Clothing,KitchenAid Stand Mixer,1,16.05,16.05,North America,Credit Card
10002,2024-05-20,Clothing,Keurig K-Mini Coffee Maker,3,1175.59,3526.7699999999995,Europe,Credit Card
10003,2024-03-05,Clothing,Tommy Hilfiger Polo Shirt,1,108.51,108.51,North America,Credit Card
10004,2024-07-14,Electronics,Bose SoundLink Color Bluetooth Speaker II,4,149.77,599.08,North America,Credit Card
10005,2024-04-16,Beauty Products,KitchenAid Artisan Stand Mixer,1,59.27,59.27,Asia,Debit Card
10006,2024-04-20,Home Appliances,Nespresso VertuoPlus,3,92.16,276.48,North America,Credit Card
10007,2024-06-03,Electronics,Neutrogena Hydro Boost Water Gel,2,228.21,456.42,North America,Credit Card
10008,2024-04-08,Clothing,Amazon Echo Show 10,1,27.71,27.71,Europe,Credit Card
10009,2024-01-31,Home Appliances,Ray-Ban Aviator Sunglasses,2,444.5,889.0,Asia,PayPal
10010,2024-08-22,Books,Nespresso Vertuo Next Coffee and Espresso Maker,2,34.25,68.5,North America,Credit Card
10011,2024-02-24,Clothing,Dyson Supersonic Hair Dryer,1,1286.66,1286.66,Asia,PayPal
10012,2024-06-20,Clothing,Yeti Roadie 24 Cooler,5,158.46,792.3000000000001,Europe,Debit Card
10013,2024-01-28,Electronics,Adidas Ultraboost Shoes,1,194.72,194.72,North America,PayPal
10014,2024-03-21,Clothing,Drunk Elephant C-Firma Day Serum,5,544.14,2720.7,Europe,Credit Card
10015,2024-03-01,Home Appliances,The Great Gatsby by F. Scott Fitzgerald,1,1774.55,1774.55,Asia,PayPal
10016,2024-01-20,Electronics,Clinique Moisture Surge,3,291.17,873.51,Asia,Credit Card
10017,2024-07-18,Books,Adidas Originals Trefoil Hoodie,1,57.28,57.28,Asia,Credit Card
10018,2024-05-16,Sports,Google Nest Wifi Router,3,15.76,47.28,Asia,Credit Card
10019,2024-03-07,Sports,Biore UV Aqua Rich Watery Essence Sunscreen,2,26.26,52.52,Asia,PayPal
10020,2024-04-12,Home Appliances,Old Navy Relaxed-Fit T-Shirt,1,1268.7,1268.7,Europe,PayPal
10021,2024-06-22,Sports,Under Armour HOVR Sonic 4 Shoes,4,7.11,28.44,Asia,Debit Card
10022,2024-01-27,Clothing,Calvin Klein Boxer Briefs,3,97.95,293.85,North America,PayPal
10023,2024-04-30,Electronics,Samsung QLED 4K TV,3,1661.12,4983.36,Europe,Credit Card
10024,2024-07-30,Books,Google Nest Wifi Router,4,309.34,1237.36,Europe,Credit Card
10025,2024-05-06,Electronics,Adidas Ultraboost Running Shoes,4,53.99,215.96,North America,PayPal
10026,2024-07-28,Sports,Canon EOS Rebel T7i DSLR Camera,1,332.38,332.38,Europe,PayPal
10027,2024-08-07,Clothing,GoPro HERO9 Black,1,57.03,57.03,Europe,PayPal
10028,2024-03-23,Sports,Nintendo Switch,2,16.12,32.24,Europe,Credit Card
10029,2024-02-06,Electronics,1984 by George Orwell,1,8.98,8.98,Asia,Debit Card
10030,2024-05-26,Books,Sony PlayStation 5,1,7.0,7.0,Asia,Debit Card
10031,2024-01-23,Electronics,Dyson Supersonic Hair Dryer,1,535.32,535.32,Europe,PayPal
10032,2024-05-01,Books,CeraVe Hydrating Facial Cleanser,2,119.57,239.14,North America,Credit Card
10033,2024-07-08,Electronics,The Art of War by Sun Tzu,1,476.54,476.54,Asia,Debit Card
10034,2024-04-15,Beauty Products,Bowflex SelectTech 552 Dumbbells,2,11.51,23.02,Europe,Debit Card
10035,2024-01-19,Beauty Products,Chanel No. 5 Perfume,3,270.26,810.78,Asia,PayPal
10036,2024-02-01,Beauty Products,Sony WH-1000XM4 Headphones,3,409.21,1227.6299999999999,North America,Credit Card
10037,2024-07-05,Beauty Products,Bowflex SelectTech 1090 Adjustable Dumbbells,2,164.36,328.72,Asia,Credit Card
10038,2024-01-15,Beauty Products,North Face Down Jacket,3,357.94,1073.82,North America,Credit Card
10039,2024-07-31,Beauty Products,Adidas Ultraboost Running Shoes,5,79.91,399.54999999999995,North America,Credit Card
10040,2024-04-04,Beauty Products,Amazon Echo Show 10,3,38.44,115.32,Asia,Debit Card
10041,2024-01-10,Sports,Dyson Supersonic Hair Dryer,1,62.47,62.47,Asia,PayPal
10042,2024-07-21,Beauty Products,The Sun Also Rises by Ernest Hemingway,5,29.44,147.20000000000002,Asia,Debit Card
10043,2024-05-23,Books,Biore UV Aqua Rich Watery Essence Sunscreen,3,274.31,822.9300000000001,Europe,PayPal
10044,2024-07-25,Home Appliances,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,3,527.59,1582.77,Europe,Credit Card
10045,2024-05-19,Books,Forever 21 Graphic Tee,3,125.88,377.64,Europe,Credit Card
10046,2024-07-11,Sports,The Goldfinch by Donna Tartt,2,44.33,88.66,Europe,Credit Card
10047,2024-03-20,Home Appliances,Laneige Water Sleeping Mask,3,8.14,24.42,Asia,Debit Card
10048,2024-03-25,Clothing,Shiseido Ultimate Sun Protector,3,450.52,1351.56,Asia,Credit Card
10049,2024-03-22,Home Appliances,De'Longhi Magnifica Espresso Machine,2,402.36,804.72,North America,Credit Card
10050,2024-02-25,Electronics,Spalding NBA Street Basketball,1,97.78,97.78,North America,PayPal
